Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
5404,PG Electroplast,3.9,(96 Reviews),Public,Noida + 9 more,45 years old,501-1k Employees (India),Consumer goods,16
5405,Sysinformation H...,3.9,(96 Reviews),Private,"Texas,Texas + 1 more",17 years old,51-200 Employees (India),Medical Services / Hospital,14
5406,Object Frontier ...,3.7,(96 Reviews),Private,"Chennai,Tamil Nadu",25 years old,501-1k Employees (India),IT Services & Consulting,9
5407,Advanced Micro D...,3.8,(96 Reviews),Private,"Santa Clara,California + 7 more",53 years old,1k-5k Employees (India),Internet,4
5408,Nahar Spinning M...,3.6,(96 Reviews),Public,"Ludhiana,Punjab + 5 more",42 years old,51-200 Employees (India),Import & Export,11
5409,Rasandik Enginee...,3.8,(96 Reviews),Public,"Delhi/NCR,Delhi + 6 more",36 years old,1k-5k Employees (India),Automobile,6
5410,Emami Frank Ross,3.7,(96 Reviews),Public,"Kolkata,West Bengal + 7 more",116 years old,201-500 Employees (India),Import & Export,15
5411,Aczet,4.1,(96 Reviews),Private,Dubai + 7 more,36 years old,51-200 Employees (India),Electronics Manufacturing,5
5412,The Calcutta Med...,4.2,(96 Reviews),Kolkata + 2 more,53 years old,1k-5k Employees (India),,Healthcare / Pharma,11
5413,Dr ITM,3.2,(96 Reviews),Private,Chandigarh + 9 more,23 years old,51-200 Employees (India),BPO / Call Centre,18
5414,The Smart Cube,4.1,(96 Reviews),Private,"London,Greater London + 4 more",19 years old,201-500 Employees (India),Consulting,13
5415,Dubai Electricit...,4.0,(96 Reviews),Private,"Dubai,Dubai + 1 more",30 years old,10k-50k Employees (India),Power,11
5416,SAGE Publication...,4.1,(96 Reviews),Private,Thousand Oaks + 3 more,57 years old,201-500 Employees (India),Media & Entertainment / Publishing,14
5417,InfoService,3.2,(96 Reviews),Private,"Chennai,Tamil Nadu + 16 more",18 years old,501-1k Employees (Global),IT Services & Consulting,18
5418,Tps Infrastructu...,4.0,(96 Reviews),Private,"Delhi/NCR,Delhi + 9 more",32 years old,201-500 Employees (India),Industrial Equipment / Machinery,19
5419,Maccaferri,3.7,(96 Reviews),Private,Bologna + 14 more,143 years old,201-500 Employees (India),Engineering & Construction,15
5420,Doosan Heavy Ind...,4.3,(96 Reviews),Private,"Seocho,Seoul + 14 more",60 years old,5k-10k Employees (Global),Internet,9
5421,Duroflex,4.2,(96 Reviews),Bangalore + 22 more,59 years old,201-500 Employees (India),,Miscellaneous,8
5422,Cholamandalam MS...,3.9,(96 Reviews),JV,Chennai + 17 more,28 years old,201-500 Employees (India),Automobile,20
5423,Accuster Technol...,3.1,(96 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",13 years old,51-200 Employees (India),Medical Services / Hospital,1
5424,Apothecon Pharma...,4.5,(96 Reviews),Private,"Vadodara/Baroda,Gujarat",15 years old,51-200 Employees (India),Pharmaceutical & Life Sciences,4
5425,TA Digital,4.2,(96 Reviews),Private,"Newark,California + 1 more",22 years old,501-1k Employees (India),IT Services & Consulting,14
5426,Underwriters Lab...,4.3,(96 Reviews),Private,"Northbrook,Illinois + 5 more",128 years old,501-1k Employees (India),Financial Services,2
5427,Shriram EPC,4.4,(96 Reviews),Public,"Chennai,Tamil Nadu + 10 more",22 years old,201-500 Employees (India),Engineering & Construction,16
5428,Unity Infraproje...,3.6,(96 Reviews),Public,"Mumbai,Maharashtra + 14 more",43 years old,501-1k Employees (India),Architecture / Interior Design,3
5429,InfoService,3.2,(96 Reviews),Private,"Chennai,Tamil Nadu + 16 more",18 years old,501-1k Employees (Global),IT Services & Consulting,8
5430,Xylem Resource M...,4.0,(96 Reviews),Private,Bengaluru + 34 more,15 years old,201-500 Employees (India),Recruitment / Staffing,6
5431,Myoung Shin Indi...,4.2,(96 Reviews),Private,"Kanchipuram,Tamil Nadu + 4 more",16 years old,51-200 Employees (India),Automobile,16
5432,The Calcutta Med...,4.2,(96 Reviews),Kolkata + 2 more,53 years old,1k-5k Employees (India),,Healthcare / Pharma,16
5433,Go Speedy Go,4.5,(96 Reviews),Private,Bhubaneswar + 3 more,5 years old,201-500 Employees (India),Automobile,7
5434,Gandhi Institute...,4.8,(96 Reviews),Bhubaneswar + 2 more,51-200 Employees (India),,,Education / Training,13
5435,Makino Auto Indu...,4.0,(96 Reviews),Private,"Noida,Uttar Pradesh + 5 more",32 years old,501-1k Employees (India),Automobile,13
5436,Winds E World,4.4,(96 Reviews),Public,Kolkata + 11 more,4 years old,51-200 Employees (India),Retail,5
5437,Redington Gulf,3.8,(96 Reviews),Dubai + 1 more,23 years old,1k-5k Employees (Global),,Consulting,20
5438,LKQ INDIA,4.1,(96 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",14 years old,501-1k Employees (India),Auto Components,18
5439,Sakon,3.8,(96 Reviews),Private,"Concord,Massachusetts",19 years old,501-1k Employees (India),IT Services & Consulting,15
