Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
9113,Saggraha Managem...,4.6,(56 Reviews),"Bangalore,Karnataka + 19 more",8 years old,201-500 Employees (India),,Financial Services,8
9114,Globsyn-3rdLife,2.5,(56 Reviews),"Calcutta,west Bengal",5 years old,1k-5k Employees (India),,IT Services & Consulting,6
9115,Deqode,4.7,(56 Reviews),Private,"San Francisco,California",10 years old,51-200 Employees (India),IT Services & Consulting,9
9116,Arabian Pipeline...,4.0,(56 Reviews),Private,Jubail + 3 more,39 years old,5k-10k Employees (India),,13
9117,Supr Infotech So...,4.4,(56 Reviews),"Bangalore,Karnataka + 12 more",501-1k Employees (India),,,Courier / Logistics,11
9118,TWEGO TOURISM SE...,3.6,(56 Reviews),"Noida,Uttar Pradesh + 2 more",4 years old,11-50 Employees (Global),,Travel & Tourism,16
9119,GRAVEIENS EDUSER...,3.9,(56 Reviews),"Noida,Uttar Pradesh + 3 more",5 years old,1-10 Employees (India),,Education / Training,16
9120,Stellantis,3.4,(56 Reviews),Chennai + 4 more,1k-5k Employees (India),,,,2
9121,Leverage Edu,3.9,(56 Reviews),Private,"Delhi,NCT + 4 more",5 years old,51-200 Employees (India),Internet,10
9122,Pixon Energy,4.5,(56 Reviews),Rajkot + 2 more,51-200 Employees (India),,,Electrical Equipment,12
9123,Sourcedesk Globa...,4.5,(56 Reviews),Private,"Toronto,Ontario",12 years old,51-200 Employees (India),IT Services & Consulting,8
9124,Mit World Peace ...,4.1,(56 Reviews),Pune + 1 more,51-200 Employees (India),,,Education / Training,11
9125,Proziod Analytic...,3.9,(56 Reviews),Private,"Bengaluru/Bangalore,Karnataka",6 years old,51-200 Employees (India),Analytics / KPO / Research,10
9126,IRON TRIANGLE LI...,3.8,(56 Reviews),Private,Rajkot + 14 more,31 years old,,Iron & Steel,13
9127,DNEG CREATIVE SE...,3.9,(56 Reviews),Mumbai + 6 more,1k-5k Employees (Global),,,Animation & VFX,17
9128,Ani Instruments,3.7,(56 Reviews),Private,Mumbai + 16 more,33 years old,1k-5k Employees (Global),Electrical Equipment,7
9129,Cadworks India,4.5,(56 Reviews),Private,"New Delhi,Delhi + 6 more",11 years old,51-200 Employees (India),Design,3
9130,Calvin Technolog...,4.6,(56 Reviews),Hyderabad/Secunderabad + 4 more,11-50 Employees (India),,,,20
9131,Ecolab Food Safe...,4.0,(56 Reviews),Public,"St. Paul,MN + 6 more",99 years old,51-200 Employees (India),Water Treatment / Waste Management,13
9132,Accutech Power S...,3.8,(56 Reviews),Private,"Mumbai,Maharashtra + 5 more",52 years old,501-1k Employees (India),Financial Services,19
9133,Caparo Group,3.8,(55 Reviews),Private,London + 10 more,54 years old,51-200 Employees (India),Oil & Gas,7
9134,Motorola Solutio...,3.9,(55 Reviews),Private,"Gurgaon/Gurugram,Illinois + 2 more",23 years old,1k-5k Employees (India),Telecom / ISP,9
9135,Minilec,3.7,(55 Reviews),Private,"Pune,Maharashtra + 2 more",57 years old,501-1k Employees (India),Retail,19
9136,DSM SINOCHEM PHA...,4.0,(55 Reviews),Private,Rotterdam + 9 more,153 years old,1k-5k Employees (Global),Healthcare / Pharma,13
9137,Secure Network S...,4.5,(55 Reviews),Private,Chennai + 6 more,22 years old,51-200 Employees (India),Hardware & Networking,8
9138,Model N,4.5,(55 Reviews),Private,San Mateo,23 years old,501-1k Employees (India),Internet,18
9139,Beyond Key Syste...,4.4,(55 Reviews),Private,"Chicago,Illinois",17 years old,51-200 Employees (India),Software Product,2
9140,Surya Constructi...,4.3,(55 Reviews),Private,New Delhi + 21 more,29 years old,51-200 Employees (India),Engineering & Construction,18
9141,Mallcom,3.5,(55 Reviews),Public,"Kolkata,West Bengal + 5 more",39 years old,1k-5k Employees (India),Financial Services,18
9142,Eidiko Systems I...,3.3,(55 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",12 years old,201-500 Employees (India),Hardware & Networking,11
9143,NEC Corporation ...,3.7,(55 Reviews),Irving + 8 more,11-50 Employees (India),,,IT Services & Consulting,1
9144,D2K Technologies...,4.3,(55 Reviews),Private,"Mumbai,Maharashtra + 2 more",21 years old,51-200 Employees (India),Financial Services,14
9145,Roadmap IT Solut...,3.6,(55 Reviews),Private,Bengaluru + 3 more,18 years old,201-500 Employees (India),Financial Services,16
9146,Cranedge,4.2,(55 Reviews),Private,Pune + 8 more,13 years old,51-200 Employees (India),Financial Services,11
9147,FSL,3.8,(55 Reviews),NGO/NPO,Bengaluru + 13 more,22 years old,11-50 Employees (Global),Education / Training,1
9148,Roto Power Proje...,3.9,(55 Reviews),Noida + 10 more,37 years old,,,Financial Services,7
9149,Net2source,3.3,(55 Reviews),Private,New Jersey + 2 more,15 years old,1k-5k Employees (Global),Recruitment / Staffing,16
9150,Nokia Seimens Ne...,4.0,(55 Reviews),Bengaluru/Bangalore + 16 more,10k-50k Employees (India),,,,14
9151,Innovative Logis...,4.2,(55 Reviews),Private,Mumbai + 17 more,6 years old,1k-5k Employees (India),Courier / Logistics,15
9152,Idemitsu Lube In...,3.3,(55 Reviews),New Delhi + 13 more,16 years old,51-200 Employees (India),,Oil & Gas,14
9153,Iceberg Foods,3.6,(55 Reviews),Private,New Delhi + 8 more,21 years old,501-1k Employees (India),Food Processing,11
9154,Survival Technol...,2.3,(55 Reviews),Private,"Mumbai,Maharashtra + 4 more",16 years old,201-500 Employees (India),Chemicals,16
9155,Damati Plastics,4.5,(55 Reviews),"Mumbai Suburban,Maharashtra + 4 more",19 years old,11-50 Employees (India),,Packaging & Containers,19
9156,Sandip Foundatio...,3.6,(55 Reviews),Private,"Nasik/Nashik,Maharashtra + 7 more",17 years old,1k-5k Employees (India),Education / Training,17
9157,Toyota Lakozy Au...,4.4,(55 Reviews),Private,Mumbai + 1 more,23 years old,1 Lakh+ Employees (India),Automobile,6
9158,Domex E-data,3.1,(55 Reviews),Bengaluru,21 years old,51-200 Employees (India),,Software Product,11
9159,Symbiosys Techno...,3.7,(55 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 3 more",21 years old,51-200 Employees (India),IT Services & Consulting,17
9160,Mody University ...,2.5,(55 Reviews),Private,"Lakshmangarh,Rajasthan + 6 more",24 years old,51-200 Employees (India),Education / Training,9
9161,Rp Telebuy Skysh...,3.8,(55 Reviews),Private,Chennai + 9 more,16 years old,501-1k Employees (Global),Advertising & Marketing,18
9162,Healthvista,3.6,(55 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",10 years old,51-200 Employees (India),Medical Services / Hospital,17
9163,LARVOL,4.3,(55 Reviews),San Francisco + 8 more,18 years old,51-200 Employees (India),,Biotech & Life sciences,12
9164,Raaj Khosla & Co...,3.7,(55 Reviews),New Delhi + 10 more,1k-5k Employees (India),,,Financial Services,5
9165,A G Construction,3.9,(55 Reviews),Private,Ontario + 23 more,34 years old,11-50 Employees (India),Engineering & Construction,11
9166,Shree Maruti Cou...,3.9,(55 Reviews),Private,"Mumbai,Maharashtra + 22 more",35 years old,201-500 Employees (India),Courier / Logistics,4
9167,Altruista Health...,3.9,(55 Reviews),Private,"Reston,Virginia",15 years old,201-500 Employees (India),IT Services & Consulting,4
9168,ASC Infratech,3.7,(55 Reviews),Noida + 11 more,12 years old,51-200 Employees (India),,Noida,3
9169,Risk Management ...,3.9,(55 Reviews),Private,Newark + 2 more,34 years old,201-500 Employees (India),Hardware & Networking,17
9170,News Nation,3.9,(55 Reviews),Private,Noida + 2 more,9 years old,201-500 Employees (India),TV / Radio,7
9171,OXXY HEALTHCARE,4.1,(55 Reviews),"New Delhi,Delhi + 4 more",9 years old,11-50 Employees (Global),,Medical Services / Hospital,4
9172,Karadi Path Educ...,3.9,(55 Reviews),Private,"Chennai,Tamil Nadu + 12 more",12 years old,51-200 Employees (India),Education / Training,13
9173,NSHM Knowledge C...,2.9,(55 Reviews),Private,Kolkata + 1 more,26 years old,51-200 Employees (India),Education / Training,12
9174,ISBM,3.9,(55 Reviews),Private,"Mumbai,Maharashtra + 13 more",30 years old,501-1k Employees (Global),Financial Services,1
9175,Lakshmi Ring Tra...,3.9,(55 Reviews),Private,Coimbatore,48 years old,201-500 Employees (India),Financial Services,19
9176,Prasar Bharati,4.2,(55 Reviews),Private,New Delhi + 20 more,25 years old,50k-1 Lakh Employees (India),TV / Radio,20
9177,Crisp System,4.2,(55 Reviews),Private,Coimbatore + 7 more,26 years old,11-50 Employees (Global),Software Product,18
9178,Johari Digital H...,3.0,(55 Reviews),Public,Jodhpur + 1 more,43 years old,51-200 Employees (India),Financial Services,11
9179,SARE Homes,4.0,(55 Reviews),Private,Gurgaon + 5 more,16 years old,201-500 Employees (Global),Real Estate,20
9180,UniverCell Telec...,4.6,(55 Reviews),Private,Chennai + 17 more,25 years old,1-10 Employees (India),Retail,3
9181,Caparo Group,3.8,(55 Reviews),Private,London + 10 more,54 years old,51-200 Employees (India),Oil & Gas,17
9182,Intercontinental...,4.0,(55 Reviews),Private,"Atlanta,Georgia",22 years old,201-500 Employees (India),Banking / Insurance / Accounting,12
9183,Minilec,3.7,(55 Reviews),Private,"Pune,Maharashtra + 2 more",57 years old,501-1k Employees (India),Retail,10
9184,ETP Internationa...,4.3,(55 Reviews),Private,Singapore + 2 more,34 years old,51-200 Employees (India),Power,8
9185,Kangaroo Kids Ed...,4.1,(55 Reviews),Public,Mumbai + 12 more,29 years old,51-200 Employees (India),Education / Training,15
9186,AREVA T&D,4.6,(55 Reviews),Private,Paris + 12 more,150 years old,10k-50k Employees (Global),Manufacturing,5
9187,Durr India,4.0,(55 Reviews),Private,"Bietigheim-bissingen,Baden-wurttemberg + 5 more",25 years old,201-500 Employees (India),Internet,4
9188,iTech Ecommerce,3.8,(55 Reviews),Noida + 6 more,7 years old,201-500 Employees (India),,Advertising & Marketing,20
9189,Reydel Automotiv...,4.0,(55 Reviews),Paris,4 years old,1k-5k Employees (Global),,Automobile,19
9190,Swades Foundatio...,3.5,(55 Reviews),Private,"Mumbai,Maharashtra + 7 more",38 years old,201-500 Employees (India),NGO / Social Services / Industry Associations,4
9191,Esko Die Casting,3.5,(55 Reviews),"Calcutta,west Bengal + 2 more",,,,Manufacturing,15
9192,Roadmap IT Solut...,3.6,(55 Reviews),Private,Bengaluru + 3 more,18 years old,201-500 Employees (India),Financial Services,17
9193,Surya Constructi...,4.3,(55 Reviews),Private,New Delhi + 21 more,29 years old,51-200 Employees (India),Engineering & Construction,12
9194,Model N,4.5,(55 Reviews),Private,San Mateo,23 years old,501-1k Employees (India),Internet,3
9195,Beyond Key Syste...,4.4,(55 Reviews),Private,"Chicago,Illinois",17 years old,51-200 Employees (India),Software Product,10
9196,K7 Computing,4.3,(55 Reviews),Private,"Chennai,Tamil Nadu + 9 more",31 years old,51-200 Employees (India),Hardware & Networking,15
9197,Digital Aptech,4.2,(55 Reviews),Private,"Kolkata,West Bengal",10 years old,51-200 Employees (India),IT Services & Consulting,10
9198,Mallcom,3.5,(55 Reviews),Public,"Kolkata,West Bengal + 5 more",39 years old,1k-5k Employees (India),Financial Services,18
9199,Biorad Medisys,4.0,(55 Reviews),Private,"Mumbai,Maharashtra + 8 more",15 years old,51-200 Employees (India),Internet,1
9200,Western Railway,4.2,(55 Reviews),Private,Mumbai + 13 more,167 years old,10k-50k Employees (Global),Railways,3
9201,Nalanda Educatio...,3.8,(55 Reviews),Private,"Vijayawada,Andhra Pradesh + 11 more",34 years old,1k-5k Employees (Global),Education / Training,12
9202,BI WORLDWIDE,4.1,(55 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",72 years old,51-200 Employees (India),Advertising & Marketing,1
9203,Quaere e-Technol...,4.5,(55 Reviews),Private,"Lucknow,Uttar Pradesh + 1 more",15 years old,51-200 Employees (India),IT Services & Consulting,3
9204,HI-Tech Outsourc...,3.9,(55 Reviews),Private,Ahmedabad + 11 more,30 years old,1k-5k Employees (Global),IT Services & Consulting,3
9205,Planet PCI Infot...,3.9,(55 Reviews),"Gurgaon,Haryana + 13 more",23 years old,51-200 Employees (India),,Recruitment / Staffing,5
9206,Magicrete Buildi...,4.2,(55 Reviews),"Surat,Gujarat + 7 more",14 years old,201-500 Employees (India),,Financial Services,19
9207,Sterling Auxilia...,3.7,(55 Reviews),Mumbai + 3 more,38 years old,51-200 Employees (India),,Financial Services,1
9208,DSM SINOCHEM PHA...,4.0,(55 Reviews),Private,Rotterdam + 9 more,153 years old,1k-5k Employees (Global),Healthcare / Pharma,4
9209,FSL,3.8,(55 Reviews),NGO/NPO,Bengaluru + 13 more,22 years old,11-50 Employees (Global),Education / Training,4
9210,Roto Power Proje...,3.9,(55 Reviews),Noida + 10 more,37 years old,,,Financial Services,17
9211,Shingora Textile...,3.3,(55 Reviews),Private,Ludhiana + 2 more,46 years old,501-1k Employees (India),Manufacturing,14
9212,Cranedge,4.2,(55 Reviews),Private,Pune + 8 more,13 years old,51-200 Employees (India),Financial Services,18
9213,Sree Metaliks,4.3,(55 Reviews),Public,Kolkata + 5 more,27 years old,51-200 Employees (India),Industrial Equipment / Machinery,1
9214,Inspace Technolo...,4.0,(55 Reviews),Private,Chennai + 8 more,19 years old,51-200 Employees (India),Software Product,16
9215,AVT McCormick In...,4.1,(55 Reviews),Aluva + 8 more,28 years old,201-500 Employees (India),,Food Processing,3
9216,Great Software L...,4.5,(55 Reviews),"Pune,Maharashtra",19 years old,1k-5k Employees (India),,Hardware & Networking,9
9217,Gits Food Produc...,3.6,(55 Reviews),Private,Mumbai + 16 more,59 years old,201-500 Employees (India),FMCG,4
9218,Recon Oil Indust...,4.1,(55 Reviews),Private,"Mumbai,Maharashtra + 10 more",31 years old,51-200 Employees (India),FMCG,5
9219,Exemed Pharmaceu...,3.8,(55 Reviews),Vadodara + 2 more,13 years old,51-200 Employees (India),,Pharmaceutical & Life Sciences,11
9220,Eicher Engineeri...,4.3,(55 Reviews),Private,"Dewas,Madhya Pradesh + 4 more",30 years old,51-200 Employees (India),Auto Components,9
9221,Classic Marble C...,3.6,(55 Reviews),Mumbai + 6 more,28 years old,201-500 Employees (India),,Building Material,3
9222,Gopaldas Visram ...,3.7,(55 Reviews),Mumbai + 2 more,77 years old,51-200 Employees (India),,Pharmaceutical & Life Sciences,6
9223,Ansal Api,4.0,(55 Reviews),Private,New Delhi + 8 more,55 years old,1k-5k Employees (India),Real Estate,11
9224,Fortis Malar Hos...,4.1,(55 Reviews),Public,Chennai + 3 more,26 years old,201-500 Employees (India),Healthcare / Pharma,9
9225,Business Octane ...,2.5,(55 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",15 years old,51-200 Employees (India),Education / Training,15
9226,Bhagwan Mahaveer...,4.1,(55 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 3 more",47 years old,51-200 Employees (India),Healthcare / Pharma,3
9227,Pran Rfl Group,3.9,(55 Reviews),Public,"Dhaka,Dhaka + 15 more",41 years old,50k-1 Lakh Employees (Global),FMCG,1
9228,Weaverbird Engin...,3.7,(55 Reviews),Private,New Delhi + 6 more,17 years old,201-500 Employees (India),IT Services & Consulting,20
9229,Harvest Internat...,4.6,(55 Reviews),Private,Bangalore + 4 more,11 years old,51-200 Employees (India),Education / Training,19
9230,Biomerieux,4.3,(55 Reviews),Marcy I'Etoile + 10 more,59 years old,51-200 Employees (India),,Biotechnology,14
9231,Rhenus Logistics,3.8,(55 Reviews),Private,Holzwickede + 9 more,110 years old,51-200 Employees (India),Courier / Logistics,17
9232,Benzo Chem Indus...,3.8,(55 Reviews),Private,"Mumbai,Maharashtra + 5 more",40 years old,51-200 Employees (India),Chemicals,14
9233,Anvil Cables,4.5,(55 Reviews),Private,Kolkata + 8 more,13 years old,201-500 Employees (India),Electronic Components / Semiconductors,17
9234,The Residency Gr...,4.5,(55 Reviews),Chennai + 2 more,37 years old,1-10 Employees (India),,Travel & Tourism / Hospitality,14
9235,Dit University,3.7,(55 Reviews),Private,Dehradun + 2 more,24 years old,201-500 Employees (India),Education / Training,12
9236,STP,3.9,(55 Reviews),Private,Whiteley + 11 more,27 years old,201-500 Employees (India),Advertising / PR / Events,16
9237,Rose Valley Grou...,4.3,(55 Reviews),Private,Kolkata + 21 more,,,Consulting,1
9238,Right Tight Fast...,4.3,(55 Reviews),Nashik + 1 more,43 years old,501-1k Employees (India),,Industrial Equipment / Machinery,13
9239,HI-Tech Outsourc...,3.9,(55 Reviews),Private,Ahmedabad + 11 more,30 years old,1k-5k Employees (Global),IT Services & Consulting,6
9240,Quaere e-Technol...,4.5,(55 Reviews),Private,"Lucknow,Uttar Pradesh + 1 more",15 years old,51-200 Employees (India),IT Services & Consulting,17
9241,Crisp System,4.2,(55 Reviews),Private,Coimbatore + 7 more,26 years old,11-50 Employees (Global),Software Product,12
9242,Maharashtra Stat...,4.2,(55 Reviews),Mumbai + 5 more,17 years old,10k-50k Employees (Global),,Power,19
9243,Healthvista,3.6,(55 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",10 years old,51-200 Employees (India),Medical Services / Hospital,6
9244,LARVOL,4.3,(55 Reviews),San Francisco + 8 more,18 years old,51-200 Employees (India),,Biotech & Life sciences,7
9245,Kare Partners He...,3.2,(55 Reviews),Private,"Chandigarh,Chandigarh + 9 more",10 years old,51-200 Employees (India),Medical Services / Hospital,1
9246,Kider india,3.3,(55 Reviews),Pune + 1 more,14 years old,501-1k Employees (India),,Courier / Logistics,1
9247,Vehant Technolog...,4.1,(55 Reviews),Private,"Noida,Uttar Pradesh + 7 more",17 years old,51-200 Employees (India),IT Services & Consulting,5
9248,Nabard Consultan...,3.9,(55 Reviews),Private,New Delhi + 14 more,19 years old,201-500 Employees (India),Consulting,6
9249,Zydus Takeda Hea...,4.4,(55 Reviews),Private,Tokyo + 1 more,241 years old,51-200 Employees (India),Healthcare / Pharma,16
9250,Cogent,3.3,(55 Reviews),Private,Birmingham + 8 more,86 years old,50k-1 Lakh Employees (India),Advertising / PR / Events,16
9251,Kshema Power And...,3.7,(55 Reviews),Private,"Kochi/Cochin,Kerala + 7 more",24 years old,51-200 Employees (India),Power,14
9252,Pradhan Mantri K...,4.1,(55 Reviews),"Delhi,delhi + 34 more",10k-50k Employees (India),,,NGO / Social Services / Industry Associations,1
9253,Maaden Aluminium...,4.3,(55 Reviews),JV,Riyadh + 7 more,13 years old,1k-5k Employees (Global),Metals & Mining,13
9254,AN Prakash Const...,4.4,(55 Reviews),Private,Bengaluru + 7 more,36 years old,201-500 Employees (India),Engineering & Construction,20
9255,Indostar Home Fi...,4.3,(55 Reviews),Public,Mumbai + 31 more,6 years old,51-200 Employees (India),Financial Services,10
9256,Healthplix Techn...,4.0,(55 Reviews),Private,"Bangalore,Karnataka + 9 more",8 years old,51-200 Employees (India),Internet,10
9257,ABS India,3.8,(55 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",20 years old,201-500 Employees (India),IT Services & Consulting,9
9258,Student Life,3.7,(55 Reviews),"Kolkata,West Bengal + 20 more",4 years old,1 Lakh+ Employees (India),,NGO / Social Services / Industry Associations,13
9259,Qarmatek Service...,3.5,(55 Reviews),Private,"Ahmedabad,Gujarat + 6 more",11 years old,11-50 Employees (India),Facility Management Services,3
9260,AMPLUS SOLAR,4.5,(55 Reviews),"Gurgaon,Haryana + 6 more",14 years old,501-1k Employees (India),,Internet,18
9261,Om Enterprises,4.1,(55 Reviews),Private,"Delhi/NCR,Delhi + 20 more",30 years old,1k-5k Employees (India),Manufacturing,20
9262,Kifs Housing Fin...,4.1,(55 Reviews),Private,Ahmedabad + 23 more,7 years old,51-200 Employees (India),Financial Services,2
9263,Brandzstorm Indi...,3.4,(55 Reviews),"Mumbai,Maharashtra + 9 more",12 years old,51-200 Employees (India),,Retail,17
9264,Yashaswi Academy...,3.8,(55 Reviews),Private,Pune + 18 more,38 years old,501-1k Employees (India),Education / Training,19
9265,BACentric,4.9,(55 Reviews),Hyderabad/Secunderabad + 1 more,11-50 Employees (India),,,Education / Training,13
9266,Eltech Appliance...,3.3,(55 Reviews),Private,Chennai + 17 more,10 years old,201-500 Employees (India),Consumer Electronics & Appliances,13
9267,RINA,4.0,(55 Reviews),Private,"Kolkata,West Bengal + 13 more",161 years old,1k-5k Employees (Global),Power,1
9268,Ruparel Realty,3.6,(55 Reviews),Private,Mumbai + 2 more,22 years old,201-500 Employees (India),Real Estate,2
9269,Indostar Home Fi...,4.3,(55 Reviews),Public,Mumbai + 31 more,6 years old,51-200 Employees (India),Financial Services,1
9270,Ptc Industries,3.7,(55 Reviews),Public,Lucknow + 2 more,59 years old,51-200 Employees (India),Industrial Equipment / Machinery,5
9271,Student Life,3.7,(55 Reviews),"Kolkata,West Bengal + 20 more",4 years old,1 Lakh+ Employees (India),,NGO / Social Services / Industry Associations,3
9272,Brandzstorm Indi...,3.4,(55 Reviews),"Mumbai,Maharashtra + 9 more",12 years old,51-200 Employees (India),,Retail,7
9273,Yashaswi Academy...,3.8,(55 Reviews),Private,Pune + 18 more,38 years old,501-1k Employees (India),Education / Training,13
9274,SMARTRIED SOFTWA...,4.6,(55 Reviews),51-200 Employees (India),,,,IT Services & Consulting,18
9275,WorkIndia,3.5,(55 Reviews),Private,"Mumbai,Maharashtra + 6 more",7 years old,201-500 Employees (India),Internet,7
9276,SOGEFI ENGINE SY...,3.2,(55 Reviews),Gurgaon/Gurugram + 1 more,,,,,1
9277,Radio Mirchi,3.5,(55 Reviews),Mumbai + 24 more,501-1k Employees (India),,,TV / Radio,5
9278,BetterPlace Sele...,4.2,(55 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",8 years old,201-500 Employees (Global),Recruitment / Staffing,17
9279,Vivekananda Coll...,4.8,(55 Reviews),Namakkal + 7 more,,,,Education / Training,8
9280,Milky Mist Dairy...,3.7,(55 Reviews),Private,"Erode,Tamil Nadu + 12 more",8 years old,501-1k Employees (India),Agriculture / Forestry / Fishing,15
9281,Ruparel Realty,3.6,(55 Reviews),Private,Mumbai + 2 more,22 years old,201-500 Employees (India),Real Estate,20
9282,AMPLUS SOLAR,4.5,(55 Reviews),"Gurgaon,Haryana + 6 more",14 years old,501-1k Employees (India),,Internet,4
9283,Pradhan Mantri K...,4.1,(55 Reviews),"Delhi,delhi + 34 more",10k-50k Employees (India),,,NGO / Social Services / Industry Associations,2
9284,DOCON TECHNOLOGI...,4.1,(55 Reviews),"Bengaluru,karnataka + 15 more",201-500 Employees (India),,,Internet,5
9285,Greytip Software,3.9,(55 Reviews),Private,"Bangalore,Karnataka + 6 more",28 years old,501-1k Employees (India),Software Product,1
9286,PwC Acceleration...,3.8,(55 Reviews),Bengaluru/Bangalore + 2 more,,,,,5
9287,Radixweb,4.0,(55 Reviews),Private,"Ahmedabad,Gujarat",22 years old,501-1k Employees (India),IT Services & Consulting,6
9288,Daimler,4.1,(870 Reviews),Private,Stuttgart + 7 more,136 years old,51-200 Employees (India),Automobile,2
9289,Vasan Health Car...,4.1,(319 Reviews),Private,"Chennai,Tamil Nadu + 24 more",20 years old,11-50 Employees (India),Medical Services / Hospital,1
9290,LexisNexis,4.3,(75 Reviews),Private,New York + 4 more,52 years old,201-500 Employees (India),Internet,4
9291,Sarvatra Technol...,4.1,(54 Reviews),Private,"Pune,Maharashtra + 6 more",22 years old,201-500 Employees (India),Internet,7
9292,KPTCL,4.2,(54 Reviews),Private,Bengaluru + 13 more,23 years old,1 Lakh+ Employees (India),Power,1
9293,Mumbai Port Trus...,4.3,(54 Reviews),Private,Mumbai + 2 more,149 years old,,Federal Agencies,1
9294,Etech,4.2,(54 Reviews),Private,Nacogdoches + 4 more,25 years old,1k-5k Employees (India),BPO / Call Centre,8
9295,Jost's Engineeri...,3.4,(54 Reviews),Private,"Mumbai,Maharashtra + 10 more",115 years old,201-500 Employees (India),Defence & Aerospace,20
9296,Sayaji Industrie...,4.2,(54 Reviews),Public,"Ahmedabad,Gujarat + 4 more",81 years old,1k-5k Employees (India),Food Processing,16
9297,WWF-India,3.2,(54 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 8 more",53 years old,51-200 Employees (India),NGO / Social Services / Industry Associations,13
9298,Gina Engineering...,3.6,(54 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",58 years old,201-500 Employees (India),Architecture / Interior Design,18
9299,Jost's Engineeri...,3.4,(54 Reviews),Private,"Mumbai,Maharashtra + 10 more",115 years old,201-500 Employees (India),Defence & Aerospace,20
9300,Netcon Technolog...,4.2,(54 Reviews),Private,"Coimbatore,Tamil Nadu + 6 more",15 years old,51-200 Employees (India),Financial Services,10
9301,Signiwis Technol...,4.0,(54 Reviews),Private,"Bangalore/Bengaluru,Karnataka",8 years old,51-200 Employees (India),IT Services & Consulting,12
9302,360 Degree Cloud...,3.1,(54 Reviews),Private,"Faridabad,Haryana + 3 more",10 years old,51-200 Employees (India),IT Services & Consulting,1
9303,Corecard Softwar...,4.3,(54 Reviews),Private,"Norcross,GA + 3 more",201-500 Employees (India),,Hardware & Networking,10
9304,Techmagnate,4.0,(54 Reviews),Private,"Delhi/NCR,Delhi",4 years old,201-500 Employees (India),Advertising / PR / Events,9
9305,Nippon Data Syst...,3.8,(54 Reviews),Private,"Noida,Uttar Pradesh + 7 more",28 years old,201-500 Employees (India),IT Services & Consulting,3
9306,Intersoft Data L...,4.0,(54 Reviews),Private,Columbia + 2 more,19 years old,501-1k Employees (India),IT Services & Consulting,19
9307,Nightingales Hom...,3.8,(54 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",26 years old,201-500 Employees (India),Financial Services,9
9308,Sanat Products,3.9,(54 Reviews),Delhi + 9 more,38 years old,201-500 Employees (India),,Chemicals / Agri Inputs,10
9309,HCIL,4.2,(54 Reviews),Public,Greater Noida + 10 more,27 years old,5k-10k Employees (Global),Automobile,19
9310,SMC Real Estate ...,3.3,(54 Reviews),New Delhi + 8 more,32 years old,51-200 Employees (India),,Real Estate,16
9311,Taehwa Enterpris...,3.5,(54 Reviews),Busan + 4 more,40 years old,501-1k Employees (India),,Consumer goods,18
9312,Tvisha Technolog...,4.5,(54 Reviews),Private,"Edison,New Jersey",19 years old,51-200 Employees (India),IT Services & Consulting,14
9313,Manugraph India,4.2,(54 Reviews),Public,"Mumbai,Maharashtra + 5 more",50 years old,51-200 Employees (India),Manufacturing,3
9314,Great White Glob...,4.2,(54 Reviews),Private,Mumbai + 11 more,59 years old,201-500 Employees (India),Electronics Manufacturing,2
9315,Advanced Busines...,3.9,(54 Reviews),Private,"Datchet,Berkshire + 2 more",21 years old,501-1k Employees (India),Software Product,1
9316,Ahlada Engineers,4.1,(54 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",17 years old,1k-5k Employees (India),Building Material,18
9317,WWF-India,3.2,(54 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 8 more",53 years old,51-200 Employees (India),NGO / Social Services / Industry Associations,9
9318,Sayaji Industrie...,4.2,(54 Reviews),Public,"Ahmedabad,Gujarat + 4 more",81 years old,1k-5k Employees (India),Food Processing,13
9319,Hofincons Group,4.1,(54 Reviews),LLC,"Saif Zone,Sharjah + 9 more",42 years old,10k-50k Employees (India),Consulting,2
9320,Shasun Pharmaceu...,4.2,(54 Reviews),Public,Chennai + 13 more,46 years old,201-500 Employees (India),Metals & Mining,7
9321,Energy Technical...,2.7,(54 Reviews),Private,Doha + 6 more,17 years old,201-500 Employees (Global),Oil & Gas,16
9322,Hero Corporate S...,4.4,(54 Reviews),Private,"Delhi/NCR,New Delhi + 17 more",38 years old,201-500 Employees (India),Consulting,19
9323,Sagar Asia,3.9,(54 Reviews),Private,Secunderabad + 6 more,45 years old,51-200 Employees (India),Industrial Equipment / Machinery,15
